시간,디렉토리,클릭 대상,"좌표(x,y)",뎁스
2025-11-01 22:36:43,홈 / 내비게이션,버튼: 내비게이션,"(-, -)",2/3
2025-11-01 22:36:44,홈 / 내비게이션 / 검색,버튼: 검색,"(-, -)",3/3
2025-11-01 22:36:46,홈 / 내비게이션,이전: 검색,"(-, -)",2/3
2025-11-01 22:36:46,홈,이전: 내비게이션,"(-, -)",1/3
2025-11-01 22:36:48,홈 / 내비게이션,버튼: 내비게이션,"(-, -)",2/3
2025-11-01 22:36:48,홈 / 내비게이션 / 내비게이션,버튼: 내비게이션,"(-, -)",3/3
2025-11-01 22:36:50,홈 / 내비게이션,이전: 내비게이션,"(-, -)",2/3
2025-11-01 22:36:50,홈,이전: 내비게이션,"(-, -)",1/3
2025-11-01 22:36:51,홈 / 검색,버튼: 검색,"(-, -)",2/3
2025-11-01 22:36:52,홈 / 검색 / 검색,버튼: 검색,"(-, -)",3/3
2025-11-01 22:36:53,홈 / 검색,이전: 검색,"(-, -)",2/3
2025-11-01 22:36:53,홈 / 검색 / 길찾기,버튼: 길찾기,"(-, -)",3/3
2025-11-01 22:36:54,홈 / 검색,이전: 길찾기,"(-, -)",2/3
2025-11-01 22:36:54,홈,이전: 검색,"(-, -)",1/3
2025-11-01 22:37:05,홈 / 내비게이션,버튼: 내비게이션,"(-, -)",2/3
2025-11-01 22:37:06,홈 / 내비게이션 / 검색,버튼: 검색,"(-, -)",3/3
2025-11-01 22:38:42,홈 / 내비게이션,버튼: 내비게이션,"(0, 0)",2/3
2025-11-01 22:38:43,홈,뒤로가기(이전: 내비게이션),"(0, 0)",1/3
2025-11-01 22:38:44,홈 / 검색,버튼: 검색,"(0, 0)",2/3
2025-11-01 22:38:45,홈 / 검색 / 길찾기,버튼: 길찾기,"(0, 0)",3/3
2025-11-01 22:38:46,홈 / 검색 / 길찾기,화면(빈 공간),"(223, 114)",3/3
2025-11-01 22:38:46,홈 / 검색 / 길찾기,화면(빈 공간),"(495, 149)",3/3
2025-11-01 22:38:47,홈 / 검색 / 길찾기,화면(빈 공간),"(267, 292)",3/3
2025-11-01 22:38:48,홈 / 검색 / 길찾기,화면(빈 공간),"(592, 291)",3/3
2025-11-01 22:38:49,홈 / 검색,뒤로가기(이전: 길찾기),"(0, 0)",2/3
2025-11-01 22:38:50,홈,뒤로가기(이전: 검색),"(0, 0)",1/3
2025-11-01 22:38:51,홈,화면(빈 공간),"(415, 327)",1/3
2025-11-01 22:38:51,홈,화면(빈 공간),"(424, 295)",1/3
2025-11-01 22:38:52,홈 / 길찾기,버튼: 길찾기,"(0, 0)",2/3
2025-11-01 22:38:54,홈 / 길찾기 / 내비게이션,버튼: 내비게이션,"(0, 0)",3/3
2025-11-01 22:40:01,홈 / Navigation,버튼: Navigation,"(0, 0)",2/3
2025-11-01 22:40:02,홈 / Navigation / Back,버튼: Back,"(0, 0)",3/3
2025-11-01 22:40:06,홈 / Navigation / Back,화면(빈 공간),"(51, 225)",3/3
2025-11-01 22:40:36,Home / Back,버튼: Back,"(0, 0)",2/3
2025-11-01 22:40:37,Home / Back / Back,버튼: Back,"(0, 0)",3/3
2025-11-01 22:40:40,Home / Back / Back,화면(빈 공간),"(243, 306)",3/3
